food_id;food_name;kcal;protein;carbohydrate;fiber;img_path
377;Carne, bovi , patinho, sem gordura, grelhado;219.3;35.9;0.0;0.0;NULL
378;Carne, bovi , peito, sem gordura, cozido;338.5;22.2;0.0;0.0;NULL
379;Carne, bovi , peito, sem gordura, cru;259.3;17.6;0.0;0.0;NULL
380;Carne, bovi , picanha, com gordura, crua;212.9;18.8;0.0;0.0;NULL
381;Carne, bovi , picanha, com gordura, grelhada;288.8;26.4;0.0;0.0;NULL
382;Carne, bovi , picanha, sem gordura, crua;133.5;21.3;0.0;0.0;NULL
383;Carne, bovi , picanha, sem gordura, grelhada;238.5;31.9;0.0;0.0;NULL
384;Carne, bovi , seca, cozida;312.8;26.9;0.0;0.0;NULL
385;Carne, bovi , seca, crua;312.7;19.7;0.0;0.0;NULL
386;Coxinha de frango, frita;283.0;9.6;34.5;5.0;NULL
387;Croquete, de carne, cru;245.8;12.0;13.9;0.0;NULL
388;Croquete, de carne, frito;346.7;16.9;18.1;0.0;NULL
389;Empada de frango, pré-cozida, assada;358.2;6.9;47.5;2.2;NULL
